Type of Hashing , Linear Probing 
Hash Function used , Integer 
Building the Hash Table 
Load Factors a , Average Put Time 
0.1 , 6.04E-4
0.2 , 8.98E-4
0.3 , 7.62E-4
0.4 , 4.86E-4
0.5 , 4.44E-4
0.6 , 4.74E-4
0.7 , 4.26E-4
0.8 , 4.28E-4
0.9 , 7.84E-4
1.0 , 0.002326
Load Factors a , Number of average probes 
0.1 , 1.004922
0.2 , 1.024118
0.3 , 1.062976
0.4 , 1.133256
0.5 , 1.243826
0.6 , 1.451882
0.7 , 1.802176
0.8 , 2.60374
0.9 , 5.10599
1.0 , 239.247502
Getting successful from the Hash Table 
Load Factors a , Average Get Time 
0.1 , 0.0011
0.2 , 3.0E-4
0.3 , 1.0E-4
0.4 , 1.0E-4
0.5 , 2.0E-4
0.6 , 1.0E-4
0.7 , 2.0E-4
0.8 , 1.0E-4
0.9 , 2.0E-4
1.0 , 0.0015
Load Factors a , Number of average probes + 
0.1 , 1.0975
0.2 , 1.2203
0.3 , 1.3567
0.4 , 1.5329
0.5 , 1.7102
0.6 , 2.0452
0.7 , 2.4888
0.8 , 3.3234
0.9 , 6.1077
1.0 , 168.7627
Getting unsuccessful from the Hash Table 
Load Factors a , Average Get Time 
0.1 , 3.0E-4
0.2 , 2.0E-4
0.3 , 1.0E-4
0.4 , 1.0E-4
0.5 , 1.0E-4
0.6 , 2.0E-4
0.7 , 2.0E-4
0.8 , 5.0E-4
0.9 , 0.0011
1.0 , 0.6861
Load Factors a , Number of average probes 
0.1 , 1.1099
0.2 , 1.2626
0.3 , 1.518
0.4 , 1.8968
0.5 , 2.4966
0.6 , 3.6409
0.7 , 5.8538
0.8 , 12.8245
0.9 , 52.5154
1.0 , 85610.6513
